service_id,date,exception_type
24,20230130,1
2,20230130,2
24,20230131,1
2,20230131,2
24,20230201,1
2,20230201,2
24,20230202,1
2,20230202,2
24,20230203,1
2,20230203,2
24,20230206,1
2,20230206,2
24,20230207,1
2,20230207,2
24,20230208,1
2,20230208,2
24,20230209,1
2,20230209,2
24,20230210,1
2,20230210,2
24,20230213,1
2,20230213,2
24,20230214,1
2,20230214,2
24,20230215,1
2,20230215,2
24,20230216,1
2,20230216,2
24,20230217,1
2,20230217,2
24,20230220,1
2,20230220,2
24,20230221,1
2,20230221,2
24,20230222,1
2,20230222,2
24,20230223,1
2,20230223,2
24,20230224,1
2,20230224,2
24,20230227,1
2,20230227,2
24,20230228,1
2,20230228,2
24,20230301,1
2,20230301,2
24,20230302,1
2,20230302,2
24,20230303,1
2,20230303,2
24,20230306,1
2,20230306,2
24,20230307,1
2,20230307,2
24,20230308,1
2,20230308,2
24,20230309,1
2,20230309,2
24,20230310,1
2,20230310,2
24,20230313,1
2,20230313,2
24,20230314,1
2,20230314,2
24,20230315,1
2,20230315,2
24,20230316,1
2,20230316,2
24,20230317,1
2,20230317,2
24,20230320,1
2,20230320,2
24,20230321,1
2,20230321,2
24,20230322,1
2,20230322,2
24,20230323,1
2,20230323,2
24,20230324,1
2,20230324,2
24,20230327,1
2,20230327,2
24,20230328,1
2,20230328,2
24,20230329,1
2,20230329,2
24,20230330,1
2,20230330,2
24,20230331,1
2,20230331,2
24,20230403,1
2,20230403,2
24,20230404,1
2,20230404,2
24,20230405,1
2,20230405,2
28,20230410,1
2,20230410,2
24,20230412,1
2,20230412,2
24,20230413,1
2,20230413,2
24,20230414,1
2,20230414,2
24,20230417,1
2,20230417,2
24,20230418,1
2,20230418,2
24,20230419,1
2,20230419,2
24,20230420,1
2,20230420,2
24,20230421,1
2,20230421,2
24,20230424,1
2,20230424,2
24,20230425,1
2,20230425,2
24,20230426,1
2,20230426,2
24,20230427,1
2,20230427,2
24,20230428,1
2,20230428,2
