route_id,outbound,inbound
1,Wejherowo os. Fenikowskiego,Gościcino Robakowska (Góra Szkolna)
2,Wejherowo Szpital,Wejherowo Dworzec PKP
3,Wejherowo Odrębna,Gościcino Robakowska
4,Wejherowo Starostwo Powiatowe,Orle Łąkowa
5,Wejherowo Szpital,Orle Łąkowa
6,Wejherowo Rogali - Energa,Wejherowo os. Fenikowskiego
7,Wejherowo Cegielnia,Gościcino PKP
8,Wejherowo Szpital,Rumia C.H. Port Rumia
9,Rumia Dworzec PKP,Reda Rekowo Lipowa
10,Wejherowo Pomorska,Kębłowo Wiejska
11,Gniewowo Spacerowa,Kąpino Kościół
12,Wejherowo Dworzec PKP,Gowino Brzozowa
13,Gościcino Szkoła,
14,Orle Szkoła,Bolszewo Leszczynowa
16,Wejherowo os. Sikorskiego,Wejherowo Krofeya
17,Reda Dworzec PKP,Reda Cmentarz
18,Reda Dworzec PKP,Reda Pieleszewo Karłowicza
