route_id,direction_id,stop_sequence,stop_id,is_opt
1,0,1,164,0
1,0,2,166,0
1,0,3,517,0
1,0,4,161,0
1,0,5,159,0
1,0,6,292,0
1,0,7,657,0
1,0,8,658,0
1,0,9,254,0
1,0,10,255,0
1,0,11,30,0
1,0,12,33,0
1,0,13,35,0
1,0,14,232,0
1,0,15,661,0
1,0,16,73,0
1,0,17,520,0
1,0,18,76,0
1,0,19,853,0
1,0,20,87,0
1,0,21,356,0
1,0,22,90,0
1,0,23,118,0
1,0,24,117,0
1,0,25,168,0
1,0,26,169,0
1,0,27,989,0
1,0,28,174,0
1,0,29,750,0
1,0,30,859,0
1,1,1,859,0
1,1,2,762,0
1,1,3,751,0
1,1,4,173,0
1,1,5,988,0
1,1,6,170,0
1,1,7,521,0
1,1,8,116,0
1,1,9,120,0
1,1,10,107,0
1,1,11,89,0
1,1,12,88,0
1,1,13,86,0
1,1,14,75,0
1,1,15,516,0
1,1,16,72,0
1,1,17,660,0
1,1,18,231,0
1,1,19,34,0
1,1,20,32,0
1,1,21,31,0
1,1,22,253,0
1,1,23,18,0
1,1,24,659,0
1,1,25,656,0
1,1,26,292,0
1,1,27,158,0
1,1,28,160,0
1,1,29,162,0
1,1,30,165,0
1,1,31,164,0
2,1,1,318,0
2,1,2,818,0
2,1,3,92,0
2,1,4,108,0
2,1,5,106,0
2,1,6,111,0
2,1,7,113,0
2,1,8,843,0
2,1,9,121,0
2,1,10,290,0
2,1,11,678,0
2,1,12,129,0
2,1,13,81,0
2,1,14,423,0
2,1,15,83,0
2,1,16,679,0
2,1,17,127,0
2,1,18,125,0
2,1,19,211,0
2,1,20,844,0
2,1,21,112,0
2,1,22,110,0
2,1,23,107,0
2,1,24,109,0
2,1,25,663,0
2,1,26,666,0
2,1,27,317,0
2,1,28,318,0
3,0,1,978,0
3,0,2,980,0
3,0,3,1,0
3,0,4,3,0
3,0,5,4,0
3,0,6,7,0
3,0,7,49,0
3,0,8,48,0
3,0,9,44,0
3,0,10,58,0
3,0,11,66,0
3,0,12,892,0
3,0,13,61,0
3,0,14,64,0
3,0,15,827,0
3,0,16,79,0
3,0,17,83,0
3,0,18,679,0
3,0,19,127,0
3,0,20,131,0
3,0,21,132,0
3,0,22,135,0
3,0,23,136,0
3,0,24,355,0
3,0,25,427,0
3,0,26,854,0
3,1,2,854,0
3,1,3,426,0
3,1,4,139,0
3,1,4,137,0
3,1,5,134,0
3,1,7,133,0
3,1,8,130,0
3,1,9,678,0
3,1,10,129,0
3,1,11,677,0
3,1,12,78,0
3,1,13,828,0
3,1,14,63,0
3,1,15,62,0
3,1,16,824,0
3,1,17,67,0
3,1,18,57,0
3,1,19,43,0
3,1,20,45,0
3,1,21,46,0
3,1,22,50,0
3,1,23,6,0
3,1,24,5,0
3,1,25,2,0
3,1,26,1,0
3,1,27,979,0
3,1,28,978,0
4,0,1,29,0
4,0,2,296,0
4,0,3,28,0
4,0,4,26,0
4,0,5,23,0
4,0,6,21,0
4,0,7,19,0
4,0,8,434,0
4,0,9,987,0
4,0,10,457,0
4,0,11,986,0
4,0,12,232,0
4,0,13,749,0
4,0,14,38,0
4,0,15,765,0
4,0,16,64,0
4,0,17,827,0
4,0,18,79,0
4,0,19,83,0
4,0,20,679,0
4,0,21,127,0
4,0,22,125,0
4,0,23,211,0
4,0,24,844,0
4,0,25,245,0
4,0,26,246,0
4,0,27,249,0
4,0,28,690,0
4,0,29,314,0
4,0,30,748,0
4,0,31,859,0
4,1,1,859,0
4,1,2,716,0
4,1,3,313,0
4,1,4,688,0
4,1,5,248,0
4,1,6,247,0
4,1,7,113,0
4,1,8,843,0
4,1,9,121,0
4,1,10,290,0
4,1,11,678,0
4,1,12,129,0
4,1,13,677,0
4,1,14,78,0
4,1,15,828,0
4,1,16,251,0
4,1,17,252,0
4,1,18,39,0
4,1,19,660,0
4,1,20,231,0
4,1,21,987,0
4,1,22,457,0
4,1,23,432,0
4,1,24,433,0
4,1,25,20,0
4,1,26,22,0
4,1,27,24,0
4,1,28,25,0
4,1,29,27,0
4,1,30,296,0
4,1,31,295,0
4,1,32,29,0
5,0,1,29,0
5,0,2,296,0
5,0,3,28,0
5,0,4,298,0
5,0,5,299,0
5,0,6,783,0
5,0,7,159,0
5,0,8,658,0
5,0,9,254,0
5,0,10,26,0
5,0,11,23,0
5,0,12,21,0
5,0,13,19,0
5,0,14,255,0
5,0,15,30,0
5,0,16,33,0
5,0,17,35,0
5,0,18,232,0
5,0,19,749,0
5,0,20,38,0
5,0,21,69,0
5,0,22,853,0
5,0,23,87,0
5,0,24,356,0
5,0,25,662,0
5,0,26,663,0
5,0,27,666,0
5,0,28,317,0
5,0,29,318,0
5,1,1,318,0
5,1,2,94,0
5,1,3,818,0
5,1,4,92,0
5,1,5,88,0
5,1,6,86,0
5,1,7,851,0
5,1,8,252,0
5,1,9,39,0
5,1,10,660,0
5,1,11,231,0
5,1,12,34,0
5,1,13,32,0
5,1,14,31,0
5,1,15,253,0
5,1,16,20,0
5,1,17,22,0
5,1,18,24,0
5,1,19,25,0
5,1,20,18,0
5,1,21,659,0
5,1,22,158,0
5,1,23,782,0
5,1,24,300,0
5,1,25,297,0
5,1,26,27,0
5,1,27,296,0
5,1,28,295,0
5,1,29,29,0
6,0,1,859,0
6,0,2,716,0
6,0,3,313,0
6,0,4,688,0
6,0,5,248,0
6,0,6,247,0
6,0,7,112,0
6,0,8,110,0
6,0,9,107,0
6,0,10,109,0
6,0,11,663,0
6,0,12,666,0
6,0,13,317,0
6,0,14,318,0
6,1,1,318,0
6,1,2,94,0
6,1,3,818,0
6,1,4,92,0
6,1,5,108,0
6,1,6,106,0
6,1,7,111,0
6,1,8,245,0
6,1,9,246,0
6,1,10,249,0
6,1,11,690,0
6,1,12,314,0
6,1,13,748,0
6,1,14,859,0
7,0,1,978,0
7,0,2,980,0
7,0,3,3,0
7,0,4,4,0
7,0,5,7,0
7,0,6,49,0
7,0,7,46,0
7,0,8,328,0
7,0,9,675,0
7,0,10,54,0
7,0,11,56,0
7,0,12,327,0
7,0,13,324,0
7,0,14,892,0
7,0,15,61,0
7,0,16,64,0
7,0,17,827,0
7,0,18,79,0
7,0,19,329,0
7,0,20,83,0
7,0,21,152,0
7,0,22,151,0
7,0,23,856,0
7,0,24,147,0
7,1,1,147,0
7,1,2,855,0
7,1,3,150,0
7,1,4,153,0
7,1,5,677,0
7,1,6,81,0
7,1,7,78,0
7,1,8,828,0
7,1,9,63,0
7,1,10,62,0
7,1,11,826,0
7,1,12,323,0
7,1,13,325,0
7,1,14,55,0
7,1,15,53,0
7,1,16,676,0
7,1,17,328,0
7,1,18,46,0
7,1,19,50,0
7,1,20,6,0
7,1,21,5,0
7,1,22,2,0
7,1,23,979,0
7,1,24,978,0
8,0,1,861,0
8,0,2,864,0
8,0,3,331,0
8,0,4,691,0
8,0,5,689,0
8,0,6,334,0
8,0,7,264,0
8,0,8,207,0
8,0,9,303,0
8,0,10,635,0
8,0,11,198,0
8,0,12,199,0
8,0,13,197,0
8,0,14,636,0
8,0,15,179,0
8,0,16,181,0
8,0,17,177,0
8,0,18,176,0
8,0,19,750,0
8,0,20,859,0
8,0,21,762,0
8,0,22,751,0
8,0,23,173,0
8,0,24,988,0
8,0,25,170,0
8,0,26,521,0
8,0,27,116,0
8,0,28,120,0
8,0,29,107,0
8,0,30,89,0
8,0,31,662,0
8,0,32,663,0
8,0,33,666,0
8,0,34,317,0
8,0,35,318,0
8,1,1,318,0
8,1,2,94,0
8,1,3,818,0
8,1,4,92,0
8,1,5,90,0
8,1,6,118,0
8,1,7,117,0
8,1,8,168,0
8,1,9,169,0
8,1,10,989,0
8,1,11,174,0
8,1,12,750,0
8,1,13,859,0
8,1,14,762,0
8,1,15,752,0
8,1,16,175,0
8,1,17,178,0
8,1,18,182,0
8,1,19,180,0
8,1,20,635,0
8,1,21,198,0
8,1,22,199,0
8,1,23,197,0
8,1,24,183,0
8,1,25,210,0
8,1,26,208,0
8,1,27,335,0
8,1,28,725,0
8,1,29,332,0
8,1,30,861,0
9,0,1,223,0
9,0,2,220,0
9,0,3,857,0
9,0,4,224,0
9,0,5,264,0
9,0,6,207,0
9,0,7,185,0
9,0,8,186,0
9,0,9,188,0
9,0,10,190,0
9,0,11,192,0
9,0,12,350,0
9,0,13,349,0
9,0,14,198,0
9,0,15,351,0
9,0,16,985,0
9,0,17,201,0
9,0,18,205,0
9,0,19,206,0
9,0,20,937,0
9,0,21,916,0
9,0,22,302,0
9,1,1,302,0
9,1,2,917,0
9,1,3,936,0
9,1,4,301,0
9,1,5,204,0
9,1,6,200,0
9,1,7,984,0
9,1,8,638,0
9,1,9,262,0
9,1,10,634,0
9,1,11,417,0
9,1,12,194,0
9,1,13,193,0
9,1,14,191,0
9,1,15,189,0
9,1,16,187,0
9,1,17,184,0
9,1,18,210,0
9,1,19,263,0
9,1,20,209,0
9,1,21,858,0
9,1,22,221,0
9,1,23,222,0
9,1,24,223,0
10,0,1,740,0
10,0,2,282,0
10,0,3,280,0
10,0,4,408,0
10,0,5,729,0
10,0,6,285,0
10,0,7,405,0
10,0,8,406,0
10,0,9,402,0
10,0,10,875,0
10,0,11,49,0
10,0,12,48,0
10,0,13,319,0
10,0,14,41,0
10,0,15,69,0
10,0,16,853,0
10,0,17,87,0
10,0,18,356,0
10,0,19,90,0
10,0,20,106,0
10,1,1,106,0
10,1,2,119,0
10,1,3,89,0
10,1,4,88,0
10,1,5,86,0
10,1,6,851,0
10,1,7,252,0
10,1,8,40,0
10,1,9,43,0
10,1,10,45,0
10,1,11,46,0
10,1,12,50,0
10,1,13,9,0
10,1,14,274,0
10,1,15,400,0
10,1,16,401,0
10,1,17,403,0
10,1,18,279,0
10,1,19,730,0
10,1,20,409,0
10,1,21,283,0
10,1,22,213,0
10,1,23,740,0
10,1,24,741,0
11,0,1,229,0
11,0,2,227,0
11,0,3,225,0
11,0,4,139,0
11,0,5,137,0
11,0,6,134,0
11,0,7,123,0
11,0,8,211,0
11,0,9,844,0
11,0,10,112,0
11,0,11,110,0
11,0,12,107,0
11,0,13,109,0
11,0,14,663,0
11,0,15,666,0
11,0,16,317,0
11,0,17,318,0
11,0,18,94,0
