stop_id,stop_code,stop_name,stop_lat,stop_lon
1,2-457-02,"Gościcino Robakowska 02",54.5901950000,18.1674920000
2,2-456-01,"Gościcino Okrężna 01",54.5937620000,18.1607620000
3,2-456-02,"Gościcino Okrężna 02",54.5938270000,18.1609940000
4,2-455-02,"Gościcino Wąska 02",54.5977370000,18.1588080000
5,2-455-01,"Gościcino Wąska 01",54.5974750000,18.1587130000
6,2-454-01,"Gościcino Wiejska 01",54.6020570000,18.1548960000
7,2-454-02,"Gościcino Wiejska 02",54.6023460000,18.1551440000
8,2-406-02,"Gościcino Równa 02 n/ż",54.6024300000,18.1383010000
9,2-406-01,"Gościcino Równa 01 n/ż",54.6016450000,18.1342060000
18,2-441-01,"Bolszewo Leszczynowa 01",54.6178110000,18.1746560000
19,2-416-02,"Bolszewo Reja 02",54.6189210000,18.1761400000
20,2-416-01,"Bolszewo Reja 01",54.6193210000,18.1762150000
21,2-417-02,"Bolszewo Ogrodowa 02",54.6220920000,18.1754530000
22,2-417-01,"Bolszewo Ogrodowa 01",54.6225810000,18.1754980000
23,2-418-02,"Bolszewo Mickiewicza 02",54.6264210000,18.1744150000
24,2-418-01,"Bolszewo Mickiewicza 01",54.6261790000,18.1746790000
25,2-421-01,"Orle Wesoła 01 n/ż",54.6321520000,18.1733520000
26,2-421-02,"Orle Wesoła 02 n/ż",54.6324940000,18.1730810000
27,2-422-01,"Orle Kościół 01",54.6377990000,18.1720610000
28,2-422-02,"Orle Kościół 02",54.6373200000,18.1719690000
29,2-424-01,"Orle Szkoła 01",54.6407660000,18.1655750000
30,2-414-02,"Bolszewo Główna - Kościół 02",54.6124310000,18.1801720000
31,2-414-01,"Bolszewo Główna - Kościół 01",54.6126800000,18.1809670000
32,2-413-01,"Bolszewo Glińskiego 01",54.6141240000,18.1867630000
33,2-413-02,"Bolszewo Glińskiego 02",54.6137020000,18.1841990000
34,2-412-01,"Bolszewo Świerkowa 01",54.6145220000,18.1916280000
35,2-412-02,"Bolszewo Świerkowa 02",54.6143370000,18.1911950000
36,1-172-03,"Wejherowo Tartaczna 03 n/ż",54.6153730000,18.2025570000
37,1-172-04,"Wejherowo Tartaczna 04 n/ż",54.6150150000,18.2023880000
38,1-171-02,"Wejherowo Budowlanych 02",54.6107980000,18.2007270000
39,1-171-01,"Wejherowo Budowlanych 01",54.6111610000,18.2013360000
40,1-113-01,"Wejherowo Tartaczna MZK 01 n/ż",54.6096910000,18.1988330000
41,1-113-02,"Wejherowo Tartaczna MZK 02 n/ż",54.6092090000,18.2005750000
43,2-401-01,"Bolszewo Zamostna 01",54.6105850000,18.1795030000
44,2-401-02,"Bolszewo Zamostna 02",54.6102610000,18.1801430000
45,2-402-01,"Gościcino Kopernika 01 n/ż",54.6095820000,18.1672630000
46,2-403-01,"Gościcino Szkoła 01",54.6080150000,18.1635120000
47,2-403-04,"Gościcino Szkoła 04",54.6091300000,18.1662320000
48,2-403-02,"Gościcino Szkoła 02",54.6081860000,18.1646230000
49,2-404-02,"Gościcino Most 02",54.6052010000,18.1591860000
50,2-404-01,"Gościcino Szeroka 01",54.6049540000,18.1576920000
53,2-472-02,"Gościcino Dworek Drzewiarza 02 n/ż",54.6036910000,18.1666020000
54,2-472-01,"Gościcino Dworek Drzewiarza 01 n/ż",54.6035420000,18.1665770000
55,2-473-02,"Gościcino Remiza 02",54.5995520000,18.1718080000
56,2-473-01,"Gościcino Remiza 01",54.5993450000,18.1718660000
57,1-212-01,"Wejherowo Sucharskiego 01",54.6085710000,18.1889000000
58,1-212-02,"Wejherowo Sucharskiego 02",54.6078490000,18.1899030000
59,1-210-01,"Wejherowo Zibertowo 01",54.6044690000,18.1955210000
60,1-210-02,"Wejherowo Zibertowo 02",54.6031960000,18.1975500000
61,1-209-02,"Wejherowo Ogródki Działkowe 02",54.6034600000,18.2041910000
62,1-209-01,"Wejherowo Ogródki Działkowe 01",54.6036330000,18.2031390000
63,1-208-01,"Wejherowo Dom Działkowca 01",54.6037360000,18.2112240000
64,1-208-02,"Wejherowo Dom Działkowca 02",54.6036470000,18.2130530000
65,1-207-02,"Wejherowo Transportowa 02",54.6033980000,18.2195920000
66,1-211-02,"Wejherowo Kotłowskiego 02",54.6055410000,18.1938420000
67,1-211-01,"Wejherowo Kotłowskiego 01",54.6065660000,18.1927880000
68,1-111-01,"Wejherowo Przemysłowa 01",54.6081080000,18.2204100000
69,1-112-02,"Wejherowo Urząd Pracy 02 n/ż",54.6079350000,18.2133210000
72,1-165-01,"Wejherowo Cementownia 01",54.6160500000,18.2121060000
73,1-165-02,"Wejherowo Cementownia 02",54.6158740000,18.2128880000
75,1-163-01,"Wejherowo Gulgowskiego 01",54.6089070000,18.2225170000
76,1-163-02,"Wejherowo Gulgowskiego 02",54.6088780000,18.2222670000
78,1-206-01,"Wejherowo Filharmonia Kaszubska 01",54.6031250000,18.2273010000
79,1-206-02,"Wejherowo Filharmonia Kaszubska 02",54.6030260000,18.2258500000
81,1-235-02,"Wejherowo Dworzec PKP 02",54.6055810000,18.2290100000
82,1-239-01,"Wejherowo Hallera 01 n/ż",54.6001210000,18.2271940000
83,1-205-02,"Wejherowo Sobieskiego - GS 02",54.6026590000,18.2317040000
85,1-111-02,"Wejherowo Przemysłowa 02",54.6073490000,18.2259120000
86,1-110-01,"Wejherowo Broniewskiego - Dworzec PKP 01",54.6068070000,18.2306520000
87,1-110-02,"Wejherowo Broniewskiego - Dworzec PKP 02",54.6067380000,18.2294030000
88,1-109-01,"Wejherowo Chopina 01",54.6051810000,18.2407110000
89,1-108-01,"Wejherowo Kochanowskiego SKM Nanice 01",54.6045550000,18.2459860000
90,1-108-02,"Wejherowo Kochanowskiego SKM Nanice 02",54.6042960000,18.2456490000
92,1-121-02,"Wejherowo Kusocińskiego 02",54.6068660000,18.2431590000
94,1-123-04,"Wejherowo Szpitalna 04 n/ż",54.6136280000,18.2494750000
95,1-123-02,"Wejherowo Szpitalna 02 n/ż",54.6132240000,18.2496510000
96,1-123-01,"Wejherowo Szpitalna 01 n/ż",54.6131480000,18.2496850000
97,1-126-02,"Wejherowo Kąpino Skrzyżowanie 02 n/ż",54.6315130000,18.2697930000
98,1-126-01,"Wejherowo Kąpino Skrzyżowanie 01 n/ż",54.6312010000,18.2705120000
99,1-124-01,"Wejherowo Nowowiejskiego 01 n/ż",54.6153250000,18.2538690000
100,1-124-02,"Wejherowo Nowowiejskiego 02 n/ż",54.6159880000,18.2538960000
101,1-125-01,"Wejherowo Kąpino Dolne 01 n/ż",54.6227430000,18.2624960000
102,1-125-02,"Wejherowo Kąpino Dolne 02 n/ż",54.6223110000,18.2617280000
103,2-532-02,"Kąpino Kościół 02",54.6291110000,18.2534800000
104,2-531-02,"Kąpino Klonowa 02",54.6308840000,18.2597450000
